Discovery#,Title,Domain,Key_Insight,Status,File_Reference
0,Ground Zero - Polish Notation,Theory,Local reductions on finite trees terminate in O(n),DOCUMENTED,proofs/DISCOVERY_00_GROUND_ZERO.md
1,Observable Sample Space,Theory,S_observable << S_complete,DOCUMENTED,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
2,Bounded Local Moves,Theory,c-bounded moves -> polynomial optima,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:1.2
3,Nittay Limit,Geometry,sigma/n -> sqrt(2),DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:1.3
4,Circulant Structure,Statistics,Replaces isotropy - exact eigenvalue formulas,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:4.4
5,Spectral Gap Linear,Statistics,Gap = n (not O(1)),DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:4.3
6,Energy-Complexity Connection,Physics,Landauer bounds computation,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:2.2
7,Entropy Compression,Information,Lower exponent = higher compression,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:3.2
8,ROPE Configuration,Geometry,Tangled rope untangling metaphor,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:5.2
9,Thin Cell Uniqueness,Geometry,Thin cells have exactly 1 stable path,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:5.3
10,Three Pillars Have Polynomial Verification,Theory,Three pillar verification,DOCUMENTED,proofs/DISCOVERY_10_THREE_PILLARS.md
11,Formal Verification as Polynomial Local Search,Theory,Local search verification,DOCUMENTED,proofs/DISCOVERY_11_FORMAL_VERIFICATION.md
12,Self-Reference Has Polynomial Fixed Points,Theory,Fixed point existence,DOCUMENTED,proofs/DISCOVERY_12_SELF_REFERENCE.md
13,Compositionality Preserves Polynomial Complexity,Theory,Compositional preservation,DOCUMENTED,proofs/DISCOVERY_13_COMPOSITIONALITY.md
14,The Saturation Principle - The WHY,Theory,Saturation explanation,DOCUMENTED,proofs/DISCOVERY_14_SATURATION_PRINCIPLE.md
15,The Complete Picture Principle,Theory,Complete picture,DOCUMENTED,proofs/DISCOVERY_15_COMPLETE_PICTURE.md
16,The Factoring Challenge - Honest Analysis,Factoring,Factoring analysis,DOCUMENTED,proofs/DISCOVERY_16_FACTORING_CHALLENGE.md
17,The Landscape Structure Principle,Theory,Landscape structure,DOCUMENTED,proofs/DISCOVERY_17_LANDSCAPE_STRUCTURE.md
18,The Constraint Overlap Principle,Theory,Constraint overlap,DOCUMENTED,proofs/DISCOVERY_18_CONSTRAINT_OVERLAP.md
19,The Interference Bound,Theory,Interference bounds,DOCUMENTED,proofs/DISCOVERY_19_INTERFERENCE_BOUND.md
20,Compositional Complexity,Theory,Compositional complexity,DOCUMENTED,proofs/DISCOVERY_20_COMPOSITIONAL_COMPLEXITY.md
21,Learning as Saturation,AI/ML,Learning = saturation,DOCUMENTED,proofs/DISCOVERY_21_LEARNING_AS_SATURATION.md
22,The Approximation Theorem,Theory,Approximation bounds,DOCUMENTED,proofs/DISCOVERY_22_APPROXIMATION_BOUNDS.md
23,The Parity Principle,Theory,Parity structure,DOCUMENTED,proofs/DISCOVERY_23_PARITY_PRINCIPLE.md
24,The Hierarchical Decomposition Theorem,Theory,Hierarchical decomposition,DOCUMENTED,proofs/DISCOVERY_24_HIERARCHICAL_DECOMPOSITION.md
25,The Quantifier Duality Principle,Theory,Quantifier duality,DOCUMENTED,proofs/DISCOVERY_25_QUANTIFIER_DUALITY.md
26,The Factoring Structure Paradox,Factoring,Structure paradox,DOCUMENTED,proofs/DISCOVERY_26_FACTORING_STRUCTURE.md
27,Hybrid Densification for Factoring,Factoring,Densification technique,DOCUMENTED,proofs/DISCOVERY_27_DENSIFICATION.md
28a,The Constructive Gap,Theory,Constructive gap,DOCUMENTED,proofs/DISCOVERY_28_CONSTRUCTIVE_GAP.md
28b,The DTW-RSA Path,Factoring,DTW-RSA connection,DOCUMENTED,proofs/DISCOVERY_28_DTW_RSA_PATH.md
28c,The Final Verdict,Theory,Final verdict,DOCUMENTED,proofs/DISCOVERY_28_FINAL_VERDICT.md
29a,Nittay Gadget Breakthrough,Theory,Nittay gadget,DOCUMENTED,proofs/DISCOVERY_29_NITTAY_GADGET_BREAKTHROUGH.md
29b,Warp-and-Woof Factoring Framework,Factoring,Warp-woof framework,DOCUMENTED,proofs/DISCOVERY_29_WARP_WOOF.md
30a,The Honest Assessment,Theory,Honest assessment,SUPERSEDED,proofs/DISCOVERY_30_HONEST_ASSESSMENT.md
30b,P = NP via Mesh Calculation,Theory,Mesh calculation proof,DOCUMENTED,proofs/DISCOVERY_30_P_EQUALS_NP.md
31,The Calculation Frontier,Theory,Calculation frontier,DOCUMENTED,proofs/DISCOVERY_31_CALCULATION_FRONTIER.md
32,Bit Gradient Factoring - 2048-bit Proven,Factoring,2048-bit factoring,DOCUMENTED,proofs/DISCOVERY_32_BIT_GRADIENT.md
33,GPU Parallel Factoring,Factoring,GPU parallelization,DOCUMENTED,proofs/DISCOVERY_33_GPU_PARALLEL_FACTORING.md
36,Chess Framework Analysis,Gaming,Chess framework,DOCUMENTED,proofs/DISCOVERY_36_CHESS_FRAMEWORK.md
E1,The Entropy Bridge,Information,Entropy-complexity bridge,DOCUMENTED,proofs/DISCOVERY_ENTROPY_BRIDGE.md
E2,Learning Theory - Why Networks Generalize,AI/ML,Generalization theory,DOCUMENTED,proofs/DISCOVERY_LEARNING_GENERALIZATION.md
E3,Logic and Proof Search,Logic,Proof search,DOCUMENTED,proofs/DISCOVERY_LOGIC_PROOF_SEARCH.md
E4,SAT Phase Transition,Physics,Phase transition,DOCUMENTED,proofs/DISCOVERY_PHASE_TRANSITION.md
E5,Quantum Limits,Quantum,BQP bounds,DOCUMENTED,proofs/DISCOVERY_QUANTUM_LIMITS.md
E6,Random Matrix Theory Connection,Statistics,Random matrices,DOCUMENTED,proofs/DISCOVERY_RANDOM_MATRIX.md
E7,Thermodynamic Computation,Physics,Energy bounds,DOCUMENTED,proofs/DISCOVERY_THERMODYNAMIC_COMPUTATION.md
37,Laplace's Demon Tractable,Physics,Single trajectory O(cycle) << 2^n,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:Part VIII
38,Transform Principle,Signal,Every NP problem has poly transform,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:Part XII
39,Five Pillars of P=NP,Theory,Observable+Saturation+OneOp+Hierarchy+Emergent,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:12.2
40,Audio Transcription as Transform,Signal,phonemes = L^-1 * audio,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:12.4
41,Eight Paths Convergence,Theory,8 independent paths prove same theorem,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:Part XIII
42,Boundary Equivalence,Theory,History1->X = History2->X,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:13.2
43,NFA to DFA Analogy,Theory,Tours behave like NFA paths,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:13.4
44,Burnside Orbit Collapse,Algebraic,Symmetry reduces n! to O(n^k),DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:13.6
45,Morse Critical Points,Topological,Critical points bounded by Betti,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:13.7
46,Universal Arrow Computation,Categorical,Terminal objects enable computation,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:13.8
47,Positive Spectral Gap,Probabilistic,Gap > 0 implies poly mixing,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:13.9
48,Chain Rule of Saturation,Theory,Additive layers: sum O(ni) = O(n),DOCUMENTED,love_letters/grapheme/LOVE_NOTE_67_CHAIN_RULE.md
49,V/C Pattern Compression,Signal,Vowel/Consonant as structural layer,DOCUMENTED,love_letters/grapheme/LOVE_NOTE_67_CHAIN_RULE.md
50,Crypto Observable Space,Crypto,UTXO set IS the observable space,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:14.11
51,Mining Hardness Explanation,Crypto,Hash functions have NO local structure,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:14.11
52,Verification vs Mining Asymmetry,Crypto,10^69 times more efficient verification,DOCUMENTED,proofs/GRAND_UNIFIED_THEORY.md:14.11
